OBJECTID,Neighbourhood_Crime_Rates_Neigh,Neighbourhood_Crime_Rates_Hood_,Hood_ID,Neighbourhood,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_AVG,Assault_CHG,Assault_Rate_2018,Auto_Theft_2014,Auto_Theft_2015,Auto_Theft_2016,Auto_Theft_2017,Auto_Theft_2018,AutoTheft_AVG,AutoTheft_CHG,AutoTheft_Rate_2018,BreakandEnter_2014,BreakandEnter_2015,BreakandEnter_2016,BreakandEnter_2017,BreakandEnter_2018,BreakandEnter_AVG,BreakandEnter_CHG,BreakandEnter_Rate_2018,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_AVG,Robbery_CHG,Robbery_Rate_2018,Theft_Over_2014,Theft_Over_2015,Theft_Over_2016,Theft_Over_2017,Theft_Over_2018,TheftOver_AVG,TheftOver_CHG,TheftOver_Rate_2018,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_AVG,Homicide_CHG,Homicide_Rate_2018,Population,Shape__Area,Shape__Length
1,Yonge-St.Clair,097,97,Yonge-St.Clair,58,38,51,46,61,50.8,33%,1912.8,28,32,22,46,69,39.4,50%,2163.7,29,16,28,32,23,25.6,-28%,721.2,12,25,14,21,19,18.2,-10%,595.8,3,6,4,6,3,4.4,-50%,94.1,0,0,0,0,0,N/A,N/A,0,3189,1161314.75244141,5873.27050652613
2,York University Heights,027,27,York University Heights,78,101,111,120,138,109.6,15%,375.4,16,13,8,19,23,15.8,21%,62.6,43,59,61,34,52,49.8,53%,141.4,28,22,23,31,15,23.8,-52%,40.8,4,4,3,6,2,3.8,-67%,5.4,1,0,2,0,1,1.3,N/A,2.7,36764,13246655.9714355,18504.7776156274
3,Lansing-Westgate,038,38,Lansing-Westgate,216,203,223,226,197,213,-13%,1923.5,21,25,23,36,22,25.4,-39%,214.8,43,78,72,73,52,63.6,-29%,507.7,81,53,49,43,41,53.4,-5%,400.3,8,4,7,2,6,5.4,200%,58.6,0,0,0,0,0,N/A,N/A,0,10242,5346185.87353516,11112.1094187908
4,Yorkdale-Glen Park,031,31,Yorkdale-Glen Park,121,141,136,124,127,129.8,2%,696.5,47,27,25,30,28,31.4,-7%,153.6,83,50,65,31,56,57,81%,307.1,42,32,22,18,35,29.8,94%,192,8,6,8,10,13,9,30%,71.3,1,1,1,1,2,1.2,100%,11,18233,6038325.94311523,10079.4268374564
5,Stonegate-Queensway,016,16,Stonegate-Queensway,109,140,124,112,128,122.6,14%,576.4,20,17,22,14,41,22.8,193%,184.6,48,37,34,37,41,39.4,11%,184.6,33,22,41,35,36,33.4,3%,162.1,10,3,4,5,4,5.2,-20%,18,1,0,0,0,0,1,N/A,0,22207,7946201.71362305,11853.1898033065
6,Tam O'Shanter-Sullivan,118,118,Tam O'Shanter-Sullivan,63,58,50,57,56,56.8,-2%,128.2,10,14,15,24,46,21.8,92%,105.3,22,23,24,17,18,20.8,6%,41.2,22,26,21,23,11,20.6,-52%,25.2,1,3,2,4,2,2.4,-50%,4.6,0,1,0,0,1,1,N/A,2.3,43695,5422344.64331055,10750.4682895881
7,The Beaches,063,63,The Beaches,349,392,380,435,457,402.6,5%,1610.4,25,22,29,32,22,26,-31%,77.5,101,96,84,110,236,125.4,115%,831.6,71,59,63,96,78,73.4,-19%,274.9,19,32,19,26,30,25.2,15%,105.7,0,0,0,0,0,N/A,N/A,0,28378,3595829.08642578,11275.1812840093
8,Thistletown-Beaumond Heights,003,3,Thistletown-Beaumond Heights,45,47,39,21,30,36.4,43%,187,9,19,17,14,25,16.8,79%,155.9,23,27,26,23,25,24.8,9%,155.9,5,6,11,6,8,7.2,33%,49.9,7,3,10,7,7,6.8,0%,43.6,0,1,0,0,2,1.5,N/A,12.5,16039,3339481.015625,10828.4442694002
9,Thorncliffe Park,055,55,Thorncliffe Park,111,124,157,147,135,134.8,-8%,1616.4,73,46,68,87,114,77.6,31%,1364.9,69,51,44,43,60,53.4,40%,718.4,29,38,34,36,42,35.8,17%,502.9,15,16,18,18,15,16.4,-17%,179.6,3,1,1,4,0,2.3,-100%,0,8352,3126553.82421875,7502.70932015893
10,Danforth East York,059,59,Danforth East York,214,203,214,203,227,212.2,12%,2165,87,99,130,94,156,113.2,66%,1487.8,109,141,100,92,115,111.4,25%,1096.8,34,36,37,67,33,41.4,-51%,314.7,34,42,36,32,54,39.6,69%,515,0,0,0,0,0,N/A,N/A,0,10485,2188597.65380859,7623.8578029557
