,text,title,intersection,lat,lng
3,"HAZARD:\nS/B DVP & Gardiner XWY W\n- reports of a stalled pick up truck on the ramp, S/B DVP to W/B Gardiner XWY\n- vehicle is in a live lane\n- officers dispatched & en route\n- use caution in the area\n- possible delays in area\n- consider alternate routes\n#GO125254\n^al",HAZARD,S/B DVP & Gardiner XWY W,43.707705,-79.3311829
4,COLLISION:\nIslington Ave & Finch Ave W\n- vehicle into hydro pole\n- vehicle is in the middle of the road\n- officers o/s investigating\n- injuries unknown\n- @TorontoHydro advised\n- possible delays in area\n- consider alternate routes\n#GO125265\n^al,COLLISION,Islington Ave & Finch Ave W,43.72666329999999,-79.5606019
5,"COLLISION:\nMorningside Ave & Ellesmere Rd\n- 2 vehicles involved (TTC bus & vehicle)\n- officers o/s investigating\n- no reported injuries\n- bus holding, TTC advised @TTCnotices \n- possible delays in area\n- consider alternate routes\n#GO124768\n^al",COLLISION,Morningside Ave & Ellesmere Rd,43.79283709999999,-79.19593499999999
6,"COLLISION:\nN/B DVP & York Mills Rd\n- reports that a vehicle spun out, now facing the wrong way\n- reports of a second vehicle that hit dividers at the fork to E/B Hwy. 401 \n- use caution in the area\n- possible delays in the area\n- consider alternate routes\n#GO124259\n^al",COLLISION,N/B DVP & York Mills Rd,43.707705,-79.3311829
9,HAZARD:\nProgress Ave & William Kitchen Road \n- reports of a TTC bus stuck on CN train tracks at Progress Ave\n- trains are stopped @GOtransit @CNRailway on that line \n- TTC advised @TTCnotices \n- expect delays on roadway & lines on that railway\n#GO123539\n^al,HAZARD,Progress Ave & William Kitchen Road ,43.7789414,-79.2568878
10,"HAZARD:\nKingston Rd & Bellamy Rd S\n- reports that a TTC bus has spun out \n- bus is completely sideways, blocking all E/B lanes of Kingston Rd at Bellamy Rd S\n- TTC notified @TTCnotices \n- traffic backed up to McCowan Rd\n- expect delays\n- consider alternate routes\n#GO123443\n^al",HAZARD,Kingston Rd & Bellamy Rd S,43.2237667,-79.63540449999999
11,HAZARD:\nFinch Ave E & Willowdale Ave\n- reports of a truck with a crane/ladder that has taken down hydro wires and a traffic light\n- officers dispatched\n- reports that the power lines are laying on the roadway\n- possible live wires DO NOT approach @TorontoHydro\n#GO123292\n^al,HAZARD,Finch Ave E & Willowdale Ave,43.15358089999999,-80.724761
13,HAZARD:\nDavenport Rd & Oakwood Ave\n- reports of TTC buses & vehicles stuck on the hill @TTCnotices \n- officers dispatched\n- reports that people are out of the vehicles trying to push them off the roadway\n- motorists reporting that they are unable to get around them\n#GO123009\n^al,HAZARD,Davenport Rd & Oakwood Ave,43.4984806,-80.5243505
25,FIRE:\nWeston Rd & Oxford Dr\n- reports of smoke coming from building/apt. fire\n- officers o/s\n- @Toronto_Fire o/s advised 2 alarm fire\n- female taken to hospital for smoke inhalation by @TorontoMedics \n- ROAD CLOSURE: Weston Rd closed from Ray Ave to Eglinton Ave W\n#GO117319\n^al,FIRE,Weston Rd & Oxford Dr,43.4802379,-80.5030992
26,COLLISION:\nMorningside Ave & Lawrence Ave E\n- reports of 2 vehicles involved \n- officers o/s \n- 1 driver reportedly trapped in the vehicle\n- fluids spilled on roadway\n- @Toronto_Fire & @TorontoMedics assisting\n- possible delays in area\n- consider alternate routes\n#GO116732\n^al,COLLISION,Morningside Ave & Lawrence Ave E,43.79283709999999,-79.19593499999999
32,"HAZARD:\nGardiner XWY &Lower Jarvis St\n- reports of a man on a bicycle on the highway going W/B\n- cyclist described as male, brown, light complexion, dressed in all black\n- use caution in the area\n- officers dispatched & en route\n#GO110606\n^al",HAZARD,Gardiner XWY &Lower Jarvis St,43.63822319999999,-79.4488251
33,"FIRE:\nYonge St & The Esplanade\n- reports of flames seen at top of a high-rise building\n- officers o/s advised smoke coming from building\n- @Toronto_Fire o/s, awaiting update\n- no injuries reported at this time\n- will update\n#GO110270\n^al",FIRE,Yonge St & The Esplanade,43.4532192,-80.4905658
38,"STABBING:\nDixon Rd + Hwy 427\n- At fast food restaurant\n- Someone stabbed\n- Suspect has fled\n- Police o/s\n- Located victim\n- Injuries not life threatening\n- Suspect is male, black, 40-50, red jacket\n#GO104360\n^dh",STABBING,Dixon Rd + Hwy 427,43.686461,-79.602192
40,FIRE:\nDixon Rd + Hwy 401\n- Near on ramp\n- Tractor trailer on fire\n- Unknown if anyone inside\n- Traffic slowed in area\n#GO103858\n^dh,FIRE,Dixon Rd + Hwy 401,43.692745,-79.56584199999999
42,COLLISION:\nMiddlefield Rd + Finch Av\n- 3 cars involved\n- Head-on collision\n- 2 people injured\n- Injuries don't apear life threatening\n- Some road/lane closures\n- Consider alternate routes\n#GO103148\n^dh,COLLISION,Middlefield Rd + Finch Av,43.8098614,-79.2576443
49,COLLISION:\nDonlands Av + O'Connor Dr\n- 2 car crash\n- Injuries not life threatening\n- Tow truck drivers o/s\n- Arguments between the tow truck operators\n- Police o/s\n- Drivers have calmed\n#GO96204\n^dh,COLLISION,Donlands Av + O'Connor Dr,43.6947588,-79.3431193
61,STABBING:\nDon Mills Rd + McNicoll Av\n- Male bleeding\n- Possibly stabbed\n- Serious bleeding\n- Police o/s\n- Have located victim\n- Very serious injury\n- Officers to assist with emergency run\n#GO88104\n^dh,STABBING,Don Mills Rd + McNicoll Av,43.799454,-79.354036
62,FIRE:\nQueen St E + Saulter St\n- Numerous callers\n- Transformer blown\n- Electrical wires on fire\n- Wires onto residence\n- Balconies in building on fire\n- Police/Fire crews o/s\n#GO87965\n^dh,FIRE,Queen St E + Saulter St,43.6594099,-79.3474226
70,FIRE:\nBloor St E + Sherbourne St\n- Black smoke coming from under the bridge\n- Reports fire gaining in intensity\n- Police/Fire o/s\n- Roads closed in area\n- Having difficulty finding fire source\n#GO79778\n^dh,FIRE,Bloor St E + Sherbourne St,43.6723558,-79.3768515
72,COLLISION:\nPrincess Av + Bayview Av \n- Car into a house\n- Injuries indicated\n- Unknown damage done to house\n- Police/EMS en route\n#GO79611\n^dh,COLLISION,Princess Av + Bayview Av ,43.7734744,-79.3896342
73,EXPOSURE:\nStock Yards Village Plaza\n- Inside children's store\n- Man caught committing an indecent act\n- In area where children may be\n- Fled store\n- Officer searched the area\n- 1 man in custody\n#GO77927\n^dh,EXPOSURE,Stock Yards Village Plaza,43.67362079999999,-79.47082189999999
77,COLLISION:\nSt Clair Av W + Lauder Av\n- Pedestrian struck\n- Through the windshield\n- He is unresponsive\n- Police o/s\n- EMS rushed to scene\n- Roads in area closed\n- Preparing to assist with emergency run\n#GO75270\n^dh,COLLISION,St Clair Av W + Lauder Av,43.6786021,-79.4397575
79,HAZARD:\nDVP + Bayview/Bloor Ramp\n- The Don Valley Parkway has been closed southbound\n- Overflow from the Don River has caused excess flooding\n- Cars will be diverted off at Bayview/Bloor off ramp\n- Consider alternate routes\n#GO73969\n^dh,HAZARD,DVP + Bayview/Bloor Ramp,43.707705,-79.3311829
81,HAZARD:\nDVP + Bayview/Bloor Ramp\n- South Bayview Ramp is closed\n- Due to flooding in the area\n- Unknown when it will be re-opened\n#GO73969\n^dh,HAZARD,DVP + Bayview/Bloor Ramp,43.707705,-79.3311829
82,HAZARD:\nGardiner Exp + Lower Sherbourne St\n- w/b\n- In the right hand lane\n- Large pot hole\n- Number of cars reporting damage\n- Some cars towed off\n- 311 notified\n#GO73693\n^dh,HAZARD,Gardiner Exp + Lower Sherbourne St,43.63822319999999,-79.4488251
83,HAZARD:\nBayview Av + Pottery Rd\n- Considerable flooding at intersection\n- Roads have been closed\n- Drivers diverted to alternate routes\n#GO73154\n^dh,HAZARD,Bayview Av + Pottery Rd,43.69613100000001,-79.3697946
84,COLLISION:\nMidland Av + Finch Av E\n- 3 car crash\n- 1 car into a concrete light standard\n- Pole is down across the roadway\n- Injuries indicated\n- Unknown how serious\n- 311 called for pole\n#GO72919\n^dh,COLLISION,Midland Av + Finch Av E,43.80374319999999,-79.2862894
85,HAZARD:\nKipling Av + Gardiner Exp \n- On ramp to go w/b\n- Large puddle in the roadway\n- Drivers slamming on brakes\n- Some hydroplaning\n- No collisions so far\n- 311 has been notified\n- Crews en route\n#GO72322\n^dh,HAZARD,Kipling Av + Gardiner Exp ,43.63822319999999,-79.4488251
86,HAZARD:\nBermondsey Rd + Eglinton Av E\n- Large pooling of water\n- Across the entire intersection\n- Cars are hydroplaning\n- Please be cautios as you pass through\n#GO72697\n^dh,HAZARD,Bermondsey Rd + Eglinton Av E,43.7261027,-79.31345809999999
89,SHOOTING:\nMilitary Tr + Neilson Rd\n**2 am**\n- Reports of shots fired at/near a home\n- Man struck by bullets\n- Injuries are very serious\n- Police/EMS doing emergency run\n- Victim succumbed to injuries in hospital\n- Homicide now investigating\n#GO69552\n^dh,SHOOTING,Military Tr + Neilson Rd,43.7879933,-79.2083382
92,COLLISION:\nRunnymede Rd + Bloor St\n- Pedestrian struck\n- Woman in her 70's\n- Lying on the roadway\n- Injuries not serious\n- This collision will be treated as serious\n- Roads closed\n- Traffic Services investigating\n#GO67126\n^dh,COLLISION,Runnymede Rd + Bloor St,43.6511421,-79.4762591
93,HAZARD:\nToro Rd + Ceramic Rd\n- Water main has broken\n- Officers have shut down Toro Rd\n- No traffic being allowed through\n- Use alternate routes\n#GO66461\n^dh,HAZARD,Toro Rd + Ceramic Rd,43.7608211,-79.48554349999999
104,SHOOTING:\nSheppard Ave + Lomar Dr\n- Reports of multiple gunshots\n- Bullets have entered home\n- No injuries reported\n- Bullet holes located in a car\n- Officers have located evidence\n- Investigating\n#GO61191\n^dh,SHOOTING,Sheppard Ave + Lomar Dr,43.73727,-79.522348
105,SHOOTING:\nTurf Grassway + Jane St\n- Multiple shots heard\n- Bullet entered home\n- No injuries\n- Police o/s\n- Investigating\n#GO61244\n^dh,SHOOTING,Turf Grassway + Jane St,43.7519174,-79.51638249999999
108,COLLISION:\nVictoria Park Ave & Kingston Rd\n- reports of 2 vehicles involved \n- officers dispatched & en route\n- reports that 1 vehicle is in a live lane\n- Toronto Paramedic Services & Toronto Fire Services assisting\n- expect delays in area\n- consider alternate routes\n#GO57678\n^AL,COLLISION,Victoria Park Ave & Kingston Rd,43.4383414,-80.5240657
112,COLLISION:\nThe Queensway at Humber Loop\n- Single car crash\n- Man trapped inside\n- Significant injuries to lower body\n- Will be taken to hospital\n- Man believed to be impaired\n- He is now in custody\n- Roads closed in area\n#GO54280\n^dh,COLLISION,The Queensway at Humber Loop,43.63119500000001,-79.47850799999999
113,SHOOTING:\nLawrence Av + Susan St\n- Someone shooting at building\n- Fled in white mini-van\n- Police o/s\n- Have located spent shell casing\n- No injuries reported\n- Investigating\n#GO54193\n^dh,SHOOTING,Lawrence Av + Susan St,43.7632961,-79.20881469999999
114,STABBING:\nYonge St + York Mills Rd\n- Taxi driver stabbed\n- May be a fare dispute\n- Suspect has entered a mall\n- Still armed with knife\n- Police o/s\n- Injuries serious but not life threatening\n- Officers searching the area\n#GO53641\n^dh,STABBING,Yonge St + York Mills Rd,43.74409689999999,-79.4066275
116,"COLLISION:\nQueen St E & Scarborough Rd\n- reports that a dump truck hit a few vehicles, and now has crashed into a residence\n- officers dispatched & en route\n- no reported injuries\n#GO50828\n^al",COLLISION,Queen St E & Scarborough Rd,43.44545129999999,-80.4936515
117,"COLLISION:\nKeele St & Finch Ave W\n- 2 transport trucks & 1 auto involved\n- officers o/s\n- @TorontoMedics & @Toronto_Fire assisting\n- ROAD CLOSURES: E/B Finch Ave W closed from Driftwood Ave to Tobermory Dr, W/B Finch Ave W closed from Sentinel Rd to Tobermory Dr\n#GO48249\n^al",COLLISION,Keele St & Finch Ave W,43.863707,-79.514399
120,STABBING:\nThe Queensway + Royal York Rd\n- Fight between 2 groups\n- Reports of male/female stabbed\n- Reports of males armed with baseball bats\n- Males have fled in a car black sedan\n- Officers searching the area\n- No victims yet located\n#GO44427\n^dh,STABBING,The Queensway + Royal York Rd,43.6263384,-79.50260899999999
122,FIRE:\nBirchmount Rd & Finch Ave E\n- reports of a fire at a restaurant in the area\n- officers dispatched & en route\n- @Toronto_Fire responding\n- kitchen/stove fire\n- no injuries reported\n#GO42393\n^al,FIRE,Birchmount Rd & Finch Ave E,43.4746742,-80.59085379999999
123,FIRE:\nHumbercrest Blvd & St John's Rd\n- reports of smoke in basement of residence\n- officers o/s\n- @Toronto_Fire o/s \n- no reports of injuries\n#GO42209\n^al,FIRE,Humbercrest Blvd & St John's Rd,43.6598064,-79.4926851
124,COLLISION:\nMartin Grove Rd & John Garland Blvd\n- 2 vehicles involved\n- officers dispatched & en route\n- unknown injuries at this point\n- reports that vehicles are blocking W/B John Garland Blvd at intersection\n- possible delays in area\n- consider alternate routes\n#GO42239\n^al,COLLISION,Martin Grove Rd & John Garland Blvd,43.5190882,-80.54223809999999
125,"COLLISION:\nSheppard Ave E & Massie St\n- single vehicle roll over\n- officers o/s\n- driver hit centre median \n- no serious injuries reported\n- ROAD CLOSURE: E/B Sheppard Ave E blocked @ Havenview Rd, W/B Sheppard Ave E blocked @ Scunthorpe Rd\n- TTC advised @TTCnotices\n#GO41147\n^al",COLLISION,Sheppard Ave E & Massie St,43.7853173,-79.27850149999999
156,STABBING:\nNorth York Subway station\n**12:06 am**\n- reports 6 suspects assaulted a male and his friends\n- male was stabbed\n- police o/s \n- man transported to hospital \n- injuries not life threatening\n- no suspect description \n- occurred outside the station\n#GO20434\n^lb,STABBING,North York Subway station,43.76876650000001,-79.41302689999999
163,SHOOTING:\nYonge St & Centre Ave\n- reports of shots fired at a residence\n- officers o/s investigating\n- no injuries reported at this time\n- will update\n#GO12411\n^al,SHOOTING,Yonge St & Centre Ave,43.4532192,-80.4905658
164,FIRE:\nThe East Mall & Formula Crt\n- @Toronto_Fire o/s advised fire has been put out (stove top fire)\n- officers o/s assisting with traffic/pedestrian control\n- @TorontoMedics o/s advised 3 males taken to hospital with burns\n#GO11666\n^al,FIRE,The East Mall & Formula Crt,43.64195369999999,-79.5578659
165,COLLISION:\nGardiner Xwy & Jameson Ave\n- reports of 2 vehicles involved\n- officers dispatched & en route\n- unknown injuries\n- possible delays in area\n- consider alternate routes\n#GO11469\n^al,COLLISION,Gardiner Xwy & Jameson Ave,43.63822319999999,-79.4488251
175,STABBING:\nDanforth Av + Linnsmore Cres\n**3:30 am**\n- Couple involved in an argument\n- Man stabbed by woman\n- Police o/s\n- Injuries serious but not life threatening\n- Man transported to hospital\n- Woman taken into custody\n#GO1258\n^dh,STABBING,Danforth Av + Linnsmore Cres,43.6820237,-79.3297679
176,STABBING:\nPortland St + Adelaide St\n**1:07 am**\n- Couple arguing on the street\n- Passersby attempted to intervene\n- Passerby slashed with edged weapon\n- Injuries life altering\n- Police o/s\n- Weapon recovered\n- Invesstigating\n#GO436\n^dh,STABBING,Portland St + Adelaide St,43.64572309999999,-79.40058839999999
183,COLLISION:\nDon Valley Pkwy South- Eastern Ave\n- 4 cars involved\n- s/b just north of the Eastern Ave exit\n- possible injuries\n- Unknown how serious\n- Consider alternate route\n#GO2522138\n#NYE2020\n^lb,COLLISION,Don Valley Pkwy South- Eastern Ave,43.736626,-79.34344500000002
185,"SHOOTING:\nCity of Toronto- East End\n- man shot\n- injuries serious, not life threatening\n- unknown where it occurred\n- officers o/s\n- EMS with the victim\n- investigating\n#GO2520736\n^lb",SHOOTING,City of Toronto- East End,,
187,FIRE:\nSunnybrook Hospital\n- K Wing\n- 2nd alarm fire\n- Fire crews o/s\n- No evacuation\n- Fire has been put out\n#GO2519516\n^dh,FIRE,Sunnybrook Hospital,43.7225227,-79.3739578
195,COLLISION:\nJane St + Black Creek Bl\n- 2 car crash\n- Injuries reported\n- Unknown how serious\n- Intersection is closed\n- Consider alternate route\n#GO2514037\n^dh,COLLISION,Jane St + Black Creek Bl,43.6772126,-79.4961735
221,COLLISION:\nDixon Rd + Martin Grove Rd\n- Pedestrian struck\n- Injuries are serious\n- Man in his 50's with head injuries\n- Taken to hospital\n- Roads closed in area\n#GO2501134\n^dh,COLLISION,Dixon Rd + Martin Grove Rd,43.69168479999999,-79.5708353
222,COLLISION:\nGerrard St + Bay St\n- 2 car crash\n- 1 car forced off roadway\n- Struck a pedestrian\n- Woman pinned to building\n- Very serious injuries\n- Expect roads to be closed\n#GO2500260\n^dh,COLLISION,Gerrard St + Bay St,43.6584927,-79.3848544
227,COLLISION:\nO'Connor Dr + Donlands Av\n**2:16 am**\n- Man jumped onto the back of a moving truck\n- Fell off + struck his head\n- Found unconscious\n- Officers assisting EMS with emergency run\n- Man in critical condition\n- Officers looking for driver + white cube van\n#GO2497348\n^dh,COLLISION,O'Connor Dr + Donlands Av,43.6947588,-79.3431193
233,COLLISION:\nThe Donway + Don Mills Rd\n- In the intersection\n- Pedestrian struck\n- Woman with leg injury\n- Driver has stayed o/s\n- Officers have closed part of roadway\n#GO2494901\n^dh,COLLISION,The Donway + Don Mills Rd,43.7408283,-79.344323
240,COLLISION:\nSheppard Av + Progress Av\n- Vehicle into the bushes\n- Now struck TTC bus shelter with people inside\n- No one in shelter injured\n- Driver believed to be impaired\n- Police o/s\n- Man arrested for Impaired Driving\n- Traffic Services investigating collision\n#GO2490348\n^dh,COLLISION,Sheppard Av + Progress Av,43.7946606,-79.2349784
241,SHOOTING:\nEva Rd + The West Mall\n- Reports of machine gun fire\n- Man lying on the ground\n- Unresponsive\n- White car chasing black car\n- Driven out of the area\n- Police en route\n#GO2490349\n^dh,SHOOTING,Eva Rd + The West Mall,43.6393584,-79.5647963
243,COLLISION:\nDVP + Don Mills Rd\n- 3 car crash\n- n/b s/of\n- In the left and center lane\n- Unknown injuries\n- Traffic in area slowed\n#GO2489960\n^dh,COLLISION,DVP + Don Mills Rd,43.7411347,-79.33225809999999
