"has_media","hashtags__001","hashtags__002","hashtags__003","hashtags__004","hashtags__005","hashtags__006","img_urls__001","img_urls__002","img_urls__003","img_urls__004","is_replied","is_reply_to","likes","links__001","links__002","parent_tweet_id","replies","retweets","screen_name","text","text_html","timestamp","timestamp_epochs","tweet_id","tweet_url","user_id","username","video_url"
"True","","","","","","","https://pbs.twimg.com/media/DnZCViwUUAAli-i.jpg","","","","True","False","213","http://222tips.com","","","71","100","TPSOperations","Emergency in Toronto Call 911~Non-Emergency call 416-808-2222~Anonymous Crime Stoppers tips to prevent/solve crime call toll free 1-800-222-8477 or online http://222tips.com . Account is breaking news Toronto Police operations only. All other updates follow @TorontoPolice ^smpic.twitter.com/phNCuv4M1V","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Emergency in Toronto Call 911~Non-Emergency call 416-808-2222~Anonymous Crime Stoppers tips to prevent/solve crime call toll free 1-800-222-8477 or online <a class=""twitter-timeline-link"" data-expanded-url=""http://222tips.com"" dir=""ltr"" href=""https://t.co/cw7CRjq3it"" rel=""nofollow noopener"" target=""_blank"" title=""http://222tips.com""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">222tips.com</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>. Account is breaking news Toronto Police operations only. All other updates follow <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16295454"" dir=""ltr"" href=""/TorontoPolice""><s>@</s><b>TorontoPolice</b></a> ^sm<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/phNCuv4M1V"">pic.twitter.com/phNCuv4M1V</a></p>","2018-09-18T16:53:32","1537289612","1042094280020377600","/TPSOperations/status/1042094280020377600","463933187","Toronto Police Operations",""
"False","Toronto","","","","","","","","","","False","False","38","","","","0","4","TPSMediaGirl","Good morning #Toronto, it’s a winter wonderland outside! I’m back working in the @TorontoPolice Operations Centre today! I’ll be tweeting on @TPSOperations with ^CdK","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Good morning <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Toronto?src=hash""><s>#</s><b>Toronto</b></a>, it’s a winter wonderland outside! I’m back working in the <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16295454"" dir=""ltr"" href=""/TorontoPolice""><s>@</s><b>TorontoPolice</b></a> Operations Centre today! I’ll be tweeting on <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""463933187"" dir=""ltr"" href=""/TPSOperations""><s>@</s><b>TPSOperations</b></a> with ^CdK</p>","2020-01-19T12:08:18","1579435698","1218867777383038976","/TPSMediaGirl/status/1218867777383038976","3054338836","Caroline de Kloet",""
"False","Hwy401","Hwy404","","","","","","","","","False","False","3","","","","0","2","OPP_GTATraffic","COLLISION: #Hwy401 WB ramp to #Hwy404 SB (DVP)  - Single vehicle on the ramp @TPSOperations  on scene. ^ag","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">COLLISION: <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Hwy401?src=hash""><s>#</s><b>Hwy401</b></a> WB ramp to <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Hwy404?src=hash""><s>#</s><b>Hwy404</b></a> SB (DVP)  - Single vehicle on the ramp <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""463933187"" dir=""ltr"" href=""/TPSOperations""><s>@</s><b>TPSOperations</b></a>  on scene. ^ag</p>","2020-01-19T11:27:21","1579433241","1218857471650992129","/OPP_GTATraffic/status/1218857471650992129","106470258","OPP GTA Traffic",""
"False","GO125254","","","","","","","","","","True","False","11","","","","1","10","TPSOperations","HAZARD:\nS/B DVP & Gardiner XWY W\n- reports of a stalled pick up truck on the ramp, S/B DVP to W/B Gardiner XWY\n- vehicle is in a live lane\n- officers dispatched & en route\n- use caution in the area\n- possible delays in area\n- consider alternate routes\n#GO125254\n^al","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">HAZARD:\nS/B DVP &amp; Gardiner XWY W\n- reports of a stalled pick up truck on the ramp, S/B DVP to W/B Gardiner XWY\n- vehicle is in a live lane\n- officers dispatched &amp; en route\n- use caution in the area\n- possible delays in area\n- consider alternate routes\n<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GO125254?src=hash""><s>#</s><b>GO125254</b></a>\n^al</p>","2020-01-19T04:37:39","1579408659","1218754368494882822","/TPSOperations/status/1218754368494882822","463933187","Toronto Police Operations",""
"False","GO125265","","","","","","","","","","True","False","13","","","","1","8","TPSOperations","COLLISION:\nIslington Ave & Finch Ave W\n- vehicle into hydro pole\n- vehicle is in the middle of the road\n- officers o/s investigating\n- injuries unknown\n- @TorontoHydro advised\n- possible delays in area\n- consider alternate routes\n#GO125265\n^al","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">COLLISION:\nIslington Ave &amp; Finch Ave W\n- vehicle into hydro pole\n- vehicle is in the middle of the road\n- officers o/s investigating\n- injuries unknown\n- <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""165819788"" dir=""ltr"" href=""/TorontoHydro""><s>@</s><b>TorontoHydro</b></a> advised\n- possible delays in area\n- consider alternate routes\n<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GO125265?src=hash""><s>#</s><b>GO125265</b></a>\n^al</p>","2020-01-19T04:33:36","1579408416","1218753349207588865","/TPSOperations/status/1218753349207588865","463933187","Toronto Police Operations",""
"False","GO124768","","","","","","","","","","False","False","10","","","","0","12","TPSOperations","COLLISION:\nMorningside Ave & Ellesmere Rd\n- 2 vehicles involved (TTC bus & vehicle)\n- officers o/s investigating\n- no reported injuries\n- bus holding, TTC advised @TTCnotices \n- possible delays in area\n- consider alternate routes\n#GO124768\n^al","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">COLLISION:\nMorningside Ave &amp; Ellesmere Rd\n- 2 vehicles involved (TTC bus &amp; vehicle)\n- officers o/s investigating\n- no reported injuries\n- bus holding, TTC advised <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""19025957"" dir=""ltr"" href=""/TTCnotices""><s>@</s><b>TTCnotices</b></a> \n- possible delays in area\n- consider alternate routes\n<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GO124768?src=hash""><s>#</s><b>GO124768</b></a>\n^al</p>","2020-01-19T02:56:26","1579402586","1218728898231402496","/TPSOperations/status/1218728898231402496","463933187","Toronto Police Operations",""
"False","GO124259","","","","","","","","","","False","False","13","","","","0","14","TPSOperations","COLLISION:\nN/B DVP & York Mills Rd\n- reports that a vehicle spun out, now facing the wrong way\n- reports of a second vehicle that hit dividers at the fork to E/B Hwy. 401 \n- use caution in the area\n- possible delays in the area\n- consider alternate routes\n#GO124259\n^al","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">COLLISION:\nN/B DVP &amp; York Mills Rd\n- reports that a vehicle spun out, now facing the wrong way\n- reports of a second vehicle that hit dividers at the fork to E/B Hwy. 401 \n- use caution in the area\n- possible delays in the area\n- consider alternate routes\n<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GO124259?src=hash""><s>#</s><b>GO124259</b></a>\n^al</p>","2020-01-19T01:03:31","1579395811","1218700478332186625","/TPSOperations/status/1218700478332186625","463933187","Toronto Police Operations",""
"False","","","","","","","","","","","True","False","55","","","","4","34","TO_WinterOps","Plow teams are out now on expressways and main roads. Please do not try to pass in between the plows.  Keep a safe distance behind them.","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Plow teams are out now on expressways and main roads. Please do not try to pass in between the plows.  Keep a safe distance behind them.</p>","2020-01-18T21:57:56","1579384676","1218653774996287488","/TO_WinterOps/status/1218653774996287488","2319261674","TO Winter Operations",""
"False","","","","","","","","","","","False","False","48","","","","0","26","TO_WinterOps","200 plows are now out clearing sidewalks. This operation will continue through the evening and overnight.  A second round of sidewalk plowing with an application of salt will be required on Sunday as temperatures fall.","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">200 plows are now out clearing sidewalks. This operation will continue through the evening and overnight.  A second round of sidewalk plowing with an application of salt will be required on Sunday as temperatures fall.</p>","2020-01-18T21:53:18","1579384398","1218652609029996544","/TO_WinterOps/status/1218652609029996544","2319261674","TO Winter Operations",""
"False","GO123539","","","","","","","","","","True","False","31","","","","4","26","TPSOperations","HAZARD:\nProgress Ave & William Kitchen Road \n- reports of a TTC bus stuck on CN train tracks at Progress Ave\n- trains are stopped @GOtransit @CNRailway on that line \n- TTC advised @TTCnotices \n- expect delays on roadway & lines on that railway\n#GO123539\n^al","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">HAZARD:\nProgress Ave &amp; William Kitchen Road \n- reports of a TTC bus stuck on CN train tracks at Progress Ave\n- trains are stopped <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""52188923"" dir=""ltr"" href=""/GOtransit""><s>@</s><b>GOtransit</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""796009601128943616"" dir=""ltr"" href=""/CNRailway""><s>@</s><b>CNRailway</b></a> on that line \n- TTC advised <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""19025957"" dir=""ltr"" href=""/TTCnotices""><s>@</s><b>TTCnotices</b></a> \n- expect delays on roadway &amp; lines on that railway\n<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GO123539?src=hash""><s>#</s><b>GO123539</b></a>\n^al</p>","2020-01-18T22:52:53","1579387973","1218667606422495233","/TPSOperations/status/1218667606422495233","463933187","Toronto Police Operations",""
